ReactorName,ReactorType,Fuel type,Burnup,BurnupUnit,Enrichment,EnrichmentUnit,SampleRef,Measurement,Isotope,Value,Unit,Concentration,ConcentrationUnit,Sigma,Uncertainty,UncertaintyUnit
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Am241,0.048,mg/gUi,0.048,mg/gUi,2,4.17,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Am243,0.141,mg/gUi,0.141,mg/gUi,2,2.84,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Cm242,0.021,mg/gUi,0.021,mg/gUi,2,9.52,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Cm244,0.055,mg/gUi,0.055,mg/gUi,2,10.91,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Nd142,0.033,mg/gUi,0.033,mg/gUi,2,3.03,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Nd143,1.053,mg/gUi,1.053,mg/gUi,2,0.76,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Nd144,1.761,mg/gUi,1.761,mg/gUi,2,0.62,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Nd145,0.889,mg/gUi,0.889,mg/gUi,2,0.67,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Nd146,0.948,mg/gUi,0.948,mg/gUi,2,0.63,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Pu238,0.3,mg/gUi,0.3,mg/gUi,2,3.33,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Pu239,6.07,mg/gUi,6.07,mg/gUi,2,0.66,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Pu240,2.58,mg/gUi,2.58,mg/gUi,2,0.78,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Pu241,1.7,mg/gUi,1.7,mg/gUi,2,0.59,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,Pu242,0.69,mg/gUi,0.69,mg/gUi,2,1.45,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,U235,10.64,mg/gUi,10.64,mg/gUi,2,0.66,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,U236,6.17,mg/gUi,6.17,mg/gUi,2,0.65,%
Balakovo-2,VVER-1000,UO2,45.1,GW*d/tUi,4.4,wt%,BAL-2|1476|42|15,Isotopic Concentration,U238,926.55,mg/gUi,926.55,mg/gUi,2,0.01,%
Balakovo-2,VVER-1000,UO2,45.8,GW*d/tUi,4.4,wt%,BAL-2|1476|42|31,Isotopic Concentration,Am243,146,mg/kgUi,0.146,mg/gUi,2,1.37,%
Balakovo-2,VVER-1000,UO2,45.8,GW*d/tUi,4.4,wt%,BAL-2|1476|42|31,Isotopic Concentration,Cm244,53.9,mg/kgUi,0.0539,mg/gUi,2,0.37,%
Balakovo-2,VVER-1000,UO2,45.8,GW*d/tUi,4.4,wt%,BAL-2|1476|42|31,Isotopic Concentration,Nd148,0.489,mg/gUi,0.489,mg/gUi,2,1.02,%
