Reactor name,Reactor type,Estimated burnup,e. U235,SFCompo sample ref,Measurement type,Sample identifier,Item,Z,A,I,Value,Unit,Concentration,Concentration Unit,Sigma,Uncertainty
Cooper-1,BWR,18.96 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|B,Activity,B,Am241,95,241,0,0.000587,Ci/gHMi,0.1712,mg/gUi,1,4.9 %
Cooper-1,BWR,18.96 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|B,Activity,B,Cs135,55,135,0,4.24E-7,Ci/gHMi,0.3680,mg/gUi,1,14 %
Cooper-1,BWR,18.96 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|B,Activity,B,Cs137,55,137,0,0.0484,Ci/gHMi,0.5575,mg/gUi,1,3.5 %
Cooper-1,BWR,18.96 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|B,Activity,B,Np237,93,237,0,1.26E-7,Ci/gHMi,0.1791,mg/gUi,1,1.9 %
Cooper-1,BWR,18.96 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|B,Activity,B,Se79,34,79,0,3.14E-8,Ci/gHMi,0.002322,mg/gUi,1,4.9 %
Cooper-1,BWR,18.96 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|B,Activity,B,Sn126,50,126,0,8.83E-8,Ci/gHMi,0.007152,mg/gUi,1,10.2 %
Cooper-1,BWR,18.96 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|B,Activity,B,Sr90,38,90,0,0.0364,Ci/gHMi,0.2635,mg/gUi,1,5.7 %
Cooper-1,BWR,18.96 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|B,Activity,B,Tc99,43,99,0,0.00000751,Ci/gHMi,0.4386,mg/gUi,1,3.5 %
Cooper-1,BWR,18.96 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|B,Isotopic Concentration,B,Pu238,94,238,0,0.0000607,g/gHMi,0.0607,mg/gUi,1,1.6 %
Cooper-1,BWR,18.96 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|B,Isotopic Concentration,B,Pu239,94,239,0,0.00424,g/gHMi,4.24,mg/gUi,1,1.6 %
