Reactor name,Reactor type,Estimated burnup,e. U235,SFCompo sample ref,Measurement type,Sample identifier,Item,Z,A,I,Value,Unit,Concentration,Concentration Unit,Sigma,Uncertainty
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Nd142,60,142,0,0.0191,mg/gFueli,0.02167,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Nd143,60,143,0,0.93,mg/gFueli,1.055,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Nd144,60,144,0,1.12,mg/gFueli,1.271,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Nd145,60,145,0,0.703,mg/gFueli,0.7975,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Nd146,60,146,0,0.709,mg/gFueli,0.8043,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Nd148,60,148,0,0.408,mg/gFueli,0.4628,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Nd150,60,150,0,0.261,mg/gFueli,0.2961,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Pu238,94,238,0,1.08,mg/gFueli,1.225,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Pu239,94,239,0,14.4,mg/gFueli,16.34,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Pu240,94,240,0,13.1,mg/gFueli,14.86,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Pu241,94,241,0,4.79,mg/gFueli,5.434,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,Pu242,94,242,0,3.53,mg/gFueli,4.004,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,U234,92,234,0,0.0822,mg/gFueli,0.09325,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,U235,92,235,0,1.08,mg/gFueli,1.225,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,U236,92,236,0,0.225,mg/gFueli,0.2552,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Isotopic Concentration,BM4D,U238,92,238,0,788,mg/gFueli,893.9,mg/gUi,,
Beznau-1,PWR,37.9 GW*d/tHMi,0.237 wt%,BEZ-1|M109|B6|BM4D,Other,BM4D,Burnup %FIMA,,,,4.29,,,,,
