,ReactorName,ReactorType,Fuel type,Burnup,Enrichment,SampleRef,Measurement,Isotope,Value,Unit,Concentration,ConcentrationUnit,Sigma,Uncertainty
0,Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,Am241,0.048,mg/gUi,0.048,mg/gUi,2.0,4.17 %
1,Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,Am243,0.141,mg/gUi,0.141,mg/gUi,2.0,2.84 %
2,Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,Cm242,0.021,mg/gUi,0.021,mg/gUi,2.0,9.52 %
3,Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,Cm244,0.055,mg/gUi,0.055,mg/gUi,2.0,10.91 %
4,Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,Nd142,0.033,mg/gUi,0.033,mg/gUi,2.0,3.03 %
5,Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,Nd143,1.053,mg/gUi,1.053,mg/gUi,2.0,0.76 %
6,Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,Nd144,1.761,mg/gUi,1.761,mg/gUi,2.0,0.62 %
7,Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,Nd145,0.889,mg/gUi,0.889,mg/gUi,2.0,0.67 %
8,Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,Nd146,0.948,mg/gUi,0.948,mg/gUi,2.0,0.63 %
9,Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,Pu238,0.3,mg/gUi,0.3,mg/gUi,2.0,3.33 %
